Jean Servais
Carl Möhner
Robert Manuel
Janine Darcey
Pierre Grasset
Robert Hossein
Marcel Lupovici
Dominique Maurin
Magali Noël
Marie Sabouret
Claude Sylvain
Jules Dassin
Armandel
Alain Bouvette
Alice Garan
André Dalibert
Jacques David
Émile Genevois
Marcelle Hainia
Marcel Lesieur
Daniel Mendaille
Huguette Montréal
Lita Recio
Fernand Sardou
Jacques Besnard
Teddy Bilis
Marcel Rouzé
Roger Rudel
