Fred Ward
Dennis Quaid
Ed Harris
Scott Glenn
Sam Shepard
Barbara Hershey
Lance Henriksen
Veronica Cartwright
Harry Shearer
Jeff Goldblum
Kim Stanley
Pamela Reed
Scott Paulin
Charles Frank
Donald Moffat
Levon Helm
Mary Jo Deschanel
Scott Wilson
Kathy Baker
Mickey Crocker
Susan Kase
Mittie Smith
Royal Dano
David Clennon
Jim Haynie
Anthony Munoz
John P. Ryan
William Russ
Mary Apick
John Dehner
David Gulpilil
O-Lan Jones
Chuck Yeager
