Masako Nozawa
Aya Hisakawa
Ryou Horikawa
Toshio Furukawa
Takeshi Kusao
Ryusei Nakao
Kouichi Yamadera
Masakazu Morita
Ryuuzaburou Ootomo
Katsuhisa Hōki
Naoko Watanabe
Banjou Ginga
Shigeru Chiba
Tetsu Inada
Nana Mizuki
Tomokazu Sugita
Masami Kikuchi
Kimiko Saito
Yukiko Morishita
Takuya Kirimoto
Hisao Egawa
Atsuki Tani
Yōhei Azakami
Takashi Matsuyama
Shin Aomori
Masaya Takatsuka
Yûsuke Numata
Bin Shimada
