Philippe Noiret
Jacques Perrin
Marco Leonardi
Salvatore Cascio
Agnese Nano
Antonella Attili
Enzo Cannavale
Isa Danieli
Leo Gullotta
Pupella Maggio
Leopoldo Trieste
Tano Cimarosa
Nicola Di Pinto
Roberta Lena
Nino Terzo
Turi Giuffrida
Mariella Lo Giudice
Giorgio Libassi
Beatrice Palme
Ignazio Pappalardo
Angela Leontini
Mimmo Mignemi
Turi Killer
Angelo Tosto
Franco Catalano
Brigitte Fossey
Giuseppe Tornatore
