Paul Newman
George Kennedy
Luke Askew
Morgan Woodward
Harry Dean Stanton
Dennis Hopper
Lou Antonio
Robert Drivas
Strother Martin
Jo Van Fleet
Clifton James
Marc Cavell
Richard Davalos
Robert Donner
J.D. Cannon
Joe Don Baker
James Gammon
Chuck Hicks
Rance Howard
James Jeter
Joy Harmon
Anthony Zerbe
Warren Finnerty
John McLiam
Wayne Rogers
Charles Tyner
Ralph Waite
Buck Kartalian
Kim Kahana
Donn Pearce
John Pearce
Rush Williams
