Errol Flynn
Olivia de Havilland
Basil Rathbone
Claude Rains
Patric Knowles
Eugene Pallette
Alan Hale
Melville Cooper
Ian Hunter
Una O'Connor
Herbert Mundin
Montagu Love
Leonard Willey
Robert Noble
Kenneth Hunter
Robert Warwick
Colin Kenny
Lester Matthews
Harry Cording
Howard Hill
Ivan F. Simpson
Carole Landis
