Yves Montand
Daniel Auteuil
Emmanuelle Béart
Hippolyte Girardot
Margarita Lozano
Yvonne Gamy
Ticky Holgado
Jean Bouchaud
Elisabeth Depardieu
Gabriel Bacquier
Armand Meffre
André Dupon
Pierre Nougaro
Jean Maurel
Roger Souza
Didier Pain
Pierre-Jean Rippert
Marc Betton
Chantal Liennel
Lucien Damiani
Fransined
Françoise Trompette
