Christian Bale
John Malkovich
Miranda Richardson
Nigel Havers
Ben Stiller
Joe Pantoliano
Leslie Phillips
Masatō Ibu
Emily Richard
Rupert Frazer
Takatarô Kataoka
David Neidorf
Ralph Seymour
Robert Stephens
Naishe Zhai
Guts Ishimatsu
Emma Piper
Jack Dearlove
Anna Turner
Ann Castle
Yvonne Gilan
Ralph Michael
Sybil Maas
Barrie Houghton
James Walker
Peter Gale
