Charlie Chaplin
Virginia Cherrill
Harry Myers
Al Ernest Garcia
Hank Mann
Albert Austin
Eddie Baker
Henry Bergman
Buster Brodie
Jeanne Carpenter
Tom Dempsey
James Donnelly
Ray Erlenborn
Robert Graves
Charles Hammond
Jean Harlow
Joseph Herrick
Austen Jewell
Willie Keeler
Robert Parrish
John Rand
W.C. Robinson
Cy Slocum
Tony Stabenau
Mark Strong
Tiny Ward
Stanhope Wheatcroft
Florence Wix
Granville Redmond
Florence Lee
